batting_average,batting_strike_rate,ducks,fifties,highest_score,hundreds,innings_batted,last_played_year,matches_played,not_outs,player,playing_span,runs,start_year,team_name
3.0,60.0,0,0,3,0,1,2014,1,0,S Anirudha,,3,2014,Sunrisers Hyderabad
7.2,98.63,3,0,18,0,14,2023,26,4,PW Hasaranga,,72,2021,Royal Challengers Bangalore
4.0,23.52,0,0,3,0,3,2020,8,2,VR Aaron,,4,2019,Rajasthan Royals
0.0,0.0,1,0,0,0,2,2010,5,1,S Ladda,,0,2010,Delhi Daredevils
42.09,123.63,1,13,116,1,49,2015,50,7,MEK Hussey,,1768,2008,Chennai Super Kings
0.0,125.0,0,0,13,0,3,2021,27,3,Imran Tahir,,15,2018,Chennai Super Kings
30.57,126.62,0,2,69,0,7,2017,8,0,F du Plessis,,214,2016,Rising Pune Supergiants
0.0,100.0,0,0,1,0,1,2017,4,1,LH Ferguson,,1,2017,Rising Pune Supergiants
0.0,0.0,0,0,,0,0,2024,1,0,S Joseph,,0,2024,Lucknow Super Giants
4.5,112.5,1,0,9,0,2,2024,2,0,AA Kulkarni,,9,2024,Lucknow Super Giants
0.0,0.0,0,0,,0,0,2013,1,0,Ankit Sharma,,0,2013,Sunrisers Hyderabad
18.33,125.0,1,0,36,0,6,2024,6,0,Anmolpreet Singh,,110,2023,Sunrisers Hyderabad
41.0,110.81,0,0,17,0,5,2016,24,4,VR Aaron,,41,2014,Royal Challengers Bangalore
7.5,115.38,0,0,14,0,2,2015,2,0,SA Abbott,,15,2015,Royal Challengers Bangalore
0.0,100.0,0,0,1,0,1,2023,1,1,Abdul Basith,,1,2023,Rajasthan Royals
0.0,0.0,0,0,,0,0,2021,1,0,Akash Singh,,0,2021,Rajasthan Royals
0.0,100.0,0,0,12,0,1,2017,1,1,AR Bawne,,12,2017,Delhi Daredevils
0.5,12.5,1,0,1,0,3,2012,12,1,VR Aaron,,1,2011,Delhi Daredevils
0.0,0.0,0,0,,0,0,2012,6,0,Anand Rajan,,0,2011,Deccan Chargers
13.0,144.44,0,0,13,0,1,2011,1,0,B Akhil,,13,2011,Kochi Tuskers Kerala
19.0,111.76,0,0,19,0,1,2011,2,0,Y Gnaneswara Rao,,19,2011,Kochi Tuskers Kerala
27.89,136.18,5,3,62,0,125,2024,172,57,RA Jadeja,,1897,2012,Chennai Super Kings
20.66,96.49,1,1,58,0,18,2020,23,6,KM Jadhav,,248,2018,Chennai Super Kings
6.0,50.0,0,0,6,0,1,2016,2,0,PSP Handscomb,,6,2016,Rising Pune Supergiants
0.0,0.0,0,0,0,0,1,2017,12,1,Imran Tahir,,0,2017,Rising Pune Supergiants
24.33,130.35,0,1,55,0,5,2022,6,2,E Lewis,,73,2022,Lucknow Super Giants
22.27,149.39,0,0,36,0,18,2016,22,7,A Ashish Reddy,,245,2013,Sunrisers Hyderabad
0.0,0.0,0,0,0,0,1,2008,1,1,Abdur Razzak,,0,2008,Royal Challengers Bangalore
13.66,113.88,1,0,30,0,4,2018,8,1,Ankit Sharma,,41,2014,Rajasthan Royals
0.0,0.0,1,0,0,0,1,2021,2,0,Anuj Rawat,,0,2021,Rajasthan Royals
63.0,190.9,0,0,46,0,3,2018,3,2,Abhishek Sharma,,63,2018,Delhi Daredevils
15.75,95.45,1,0,40,0,4,2010,5,0,Anirudh Singh,,63,2010,Deccan Chargers
9.2,92.0,3,0,26,0,8,2011,11,3,RV Gomez,,46,2011,Kochi Tuskers Kerala
24.33,110.6,1,0,39,0,4,2022,7,1,N Jagadeesan,,73,2020,Chennai Super Kings
21.16,127.0,0,0,30,0,6,2016,6,0,UT Khawaja,,127,2016,Rising Pune Supergiants
7.0,63.63,0,0,7,0,1,2016,3,0,MR Marsh,,7,2016,Rising Pune Supergiants
31.0,129.16,1,1,64,0,5,2023,5,2,PN Mankad,,93,2023,Lucknow Super Giants
41.52,142.19,2,7,114,1,28,2021,28,3,JM Bairstow,,1038,2019,Sunrisers Hyderabad
4.0,57.14,0,0,3,0,3,2020,8,2,Basil Thampi,,4,2018,Sunrisers Hyderabad
12.2,107.01,0,0,24,0,5,2019,8,0,AD Nath,,61,2019,Royal Challengers Bangalore
18.82,127.35,1,1,64,0,24,2013,29,1,MA Agarwal,,433,2011,Royal Challengers Bangalore
0.0,75.0,0,0,3,0,1,2018,3,1,Anureet Singh,,3,2018,Rajasthan Royals
15.0,157.25,3,0,27,0,23,2020,35,10,JC Archer,,195,2018,Rajasthan Royals
25.71,152.54,1,2,65,0,16,2024,18,2,Abishek Porel,,360,2023,Delhi Daredevils
9.5,86.36,1,0,9,0,5,2013,15,3,AB Agarkar,,19,2011,Delhi Daredevils
6.0,138.46,0,0,15,0,4,2012,9,1,Ankit Sharma,,18,2012,Deccan Chargers
8.75,120.68,0,0,10,0,5,2012,9,1,A Ashish Reddy,,35,2012,Deccan Chargers
35.62,120.76,1,1,51,0,14,2011,14,6,BJ Hodge,,285,2011,Kochi Tuskers Kerala
31.44,124.12,0,0,47,0,12,2011,14,3,RA Jadeja,,283,2011,Kochi Tuskers Kerala
0.0,110.0,0,0,18,0,2,2013,10,2,AN Ahmed,,22,2010,Mumbai Indians
0.0,0.0,0,0,,0,0,2013,3,0,S Ladda,,0,2011,Kolkata Knight Riders
4.0,40.0,0,0,4,0,2,2017,6,1,VR Aaron,,4,2017,Kings XI Punjab
0.0,0.0,0,0,,0,0,2022,2,0,VR Aaron,,0,2022,Gujarat Titans
7.0,50.0,0,0,7,0,1,2013,2,0,UA Birla,,7,2013,Pune Warriors
0.0,0.0,0,0,,0,0,2016,1,0,S Ladda,,0,2016,Gujarat Lions
27.0,100.0,0,0,13,0,7,2012,50,6,SB Jakati,,27,2009,Chennai Super Kings
9.0,120.0,2,0,16,0,6,2011,16,2,Joginder Sharma,,36,2008,Chennai Super Kings
16.0,177.77,0,0,16,0,1,2016,2,0,JA Morkel,,16,2016,Rising Pune Supergiants
3.66,84.61,0,0,7,0,3,2016,4,0,IK Pathan,,11,2016,Rising Pune Supergiants
29.15,144.1,2,4,73,0,13,2023,13,0,KR Mayers,,379,2023,Lucknow Super Giants
19.0,63.33,0,0,19,0,1,2024,8,0,A Mishra,,19,2023,Lucknow Super Giants
3.5,41.17,1,0,7,0,2,2019,2,0,RK Bhui,,7,2018,Sunrisers Hyderabad
20.75,162.74,0,0,27,0,8,2017,18,4,Bipul Sharma,,83,2015,Sunrisers Hyderabad
14.0,233.33,0,0,5,0,4,2015,7,3,AN Ahmed,,14,2014,Royal Challengers Bangalore
9.5,158.33,1,0,17,0,3,2024,8,1,Akash Deep,,19,2022,Royal Challengers Bangalore
0.0,0.0,0,0,,0,0,2023,2,0,M Ashwin,,0,2023,Rajasthan Royals
18.1,132.3,3,1,50,0,31,2024,45,12,R Ashwin,,344,2022,Rajasthan Royals
17.75,121.16,1,2,68,0,21,2016,21,1,MA Agarwal,,355,2014,Delhi Daredevils
0.0,0.0,2,0,0,0,2,2024,33,0,KK Ahmed,,0,2022,Delhi Daredevils
7.83,95.91,1,0,17,0,7,2008,11,1,SB Bangar,,47,2008,Deccan Chargers
13.8,81.17,0,0,22,0,7,2010,7,2,AA Bilakhia,,69,2009,Deccan Chargers
6.0,78.26,1,0,12,0,4,2011,6,1,KM Jadhav,,18,2011,Kochi Tuskers Kerala
23.0,116.34,0,3,76,0,13,2011,13,0,DPMD Jayawardene,,299,2011,Kochi Tuskers Kerala
8.0,114.28,0,0,8,0,1,2022,1,0,FA Allen,,8,2022,Mumbai Indians
31.58,136.33,0,3,95,0,15,2015,16,3,CJ Anderson,,379,2014,Mumbai Indians
20.0,121.21,0,0,39,0,17,2010,27,9,AB Agarkar,,160,2008,Kolkata Knight Riders
5.0,166.66,0,0,5,0,1,2022,1,0,Aman Hakim Khan,,5,2022,Kolkata Knight Riders
13.0,162.5,1,0,12,0,3,2016,5,2,KJ Abbott,,13,2016,Kings XI Punjab
0.0,0.0,0,0,0,0,1,2010,11,1,YA Abdulla,,0,2009,Kings XI Punjab
10.5,127.27,0,0,17,0,4,2024,7,0,Azmatullah Omarzai,,42,2024,Gujarat Titans
2.5,125.0,1,0,5,0,3,2022,13,1,LH Ferguson,,5,2022,Gujarat Titans
16.33,104.25,0,0,41,0,6,2012,6,0,MJ Clarke,,98,2012,Pune Warriors
3.66,68.75,2,0,6,0,6,2013,20,3,AB Dinda,,11,2012,Pune Warriors
5.0,71.42,1,0,12,0,4,2017,5,0,AD Nath,,20,2016,Gujarat Lions
0.0,0.0,0,0,,0,0,2017,1,0,SS Agarwal,,0,2017,Gujarat Lions
11.0,137.5,0,0,6,0,2,2022,4,1,CJ Jordan,,11,2022,Chennai Super Kings
2.0,50.0,0,0,2,0,1,2011,8,0,S Randiv,,2,2011,Chennai Super Kings
21.42,161.29,0,0,34,0,10,2016,12,3,NLTC Perera,,150,2016,Rising Pune Supergiants
36.5,119.67,0,0,37,0,4,2016,4,2,KP Pietersen,,73,2016,Rising Pune Supergiants
8.33,104.16,1,0,13,0,5,2024,24,2,Mohsin Khan,,25,2022,Lucknow Super Giants
29.0,120.83,1,0,41,0,8,2015,9,3,RS Bopara,,145,2015,Sunrisers Hyderabad
0.0,0.0,0,0,,0,0,2016,8,0,TA Boult,,0,2015,Sunrisers Hyderabad
12.6,136.95,2,0,27,0,10,2010,14,5,B Akhil,,63,2008,Royal Challengers Bangalore
20.6,158.46,1,3,66,0,17,2020,19,2,MM Ali,,309,2018,Royal Challengers Bangalore
0.0,0.0,1,0,0,0,1,2023,4,0,KM Asif,,0,2023,Rajasthan Royals
21.15,124.77,3,2,60,0,20,2011,20,0,SA Asnodkar,,423,2008,Rajasthan Royals
13.75,108.91,1,1,51,0,9,2023,11,1,Aman Hakim Khan,,110,2023,Delhi Daredevils
20.28,115.44,1,0,41,0,11,2017,11,4,CJ Anderson,,142,2017,Delhi Daredevils
22.18,119.02,0,1,61,0,17,2012,19,6,B Chipli,,244,2011,Deccan Chargers
20.93,120.93,1,0,39,0,20,2012,21,4,DT Christian,,335,2011,Deccan Chargers
18.25,94.8,0,0,29,0,4,2011,4,0,M Klinger,,73,2011,Kochi Tuskers Kerala
14.66,104.76,1,0,36,0,3,2011,3,0,VVS Laxman,,44,2011,Kochi Tuskers Kerala
9.66,107.4,0,0,16,0,3,2022,3,0,Anmolpreet Singh,,29,2021,Mumbai Indians
0.0,100.0,0,0,3,0,2,2023,5,2,JC Archer,,4,2023,Mumbai Indians
0.0,0.0,0,0,,0,0,2009,3,0,Anureet Singh,,0,2009,Kolkata Knight Riders
0.0,133.33,0,0,2,0,4,2024,15,4,VG Arora,,4,2023,Kolkata Knight Riders
0.0,0.0,0,0,0,0,1,2011,3,1,L Ablish,,0,2010,Kings XI Punjab
9.0,69.23,0,0,9,0,1,2018,1,0,AD Nath,,9,2018,Kings XI Punjab
0.0,85.71,0,0,5,0,3,2024,5,3,SH Johnson,,6,2024,Gujarat Titans
12.0,63.15,1,0,7,0,5,2023,16,4,AS Joseph,,12,2022,Gujarat Titans
0.0,0.0,0,0,,0,0,2011,1,0,JP Faulkner,,0,2011,Pune Warriors
16.33,83.76,0,0,23,0,8,2012,9,2,CJ Ferguson,,98,2011,Pune Warriors
3.5,77.77,2,0,7,0,3,2017,7,1,Ankit Soni,,7,2017,Gujarat Lions
0.0,100.0,0,0,13,0,5,2017,12,5,Basil Thampi,,28,2017,Gujarat Lions
5.33,69.56,1,0,8,0,3,2008,5,0,CK Kapugedera,,16,2008,Chennai Super Kings
33.15,122.79,4,8,74,0,30,2017,30,4,AM Rahane,,862,2016,Rising Pune Supergiants
18.0,72.0,0,0,13,0,6,2024,18,5,Naveen-ul-Haq,,18,2023,Lucknow Super Giants
25.0,156.25,0,0,43,0,4,2018,4,1,CR Brathwaite,,75,2018,Sunrisers Hyderabad
5.66,77.27,1,0,15,0,3,2018,3,0,CJ Anderson,,17,2018,Royal Challengers Bangalore
0.0,200.0,0,0,7,0,3,2024,16,3,Avesh Khan,,10,2024,Rajasthan Royals
13.5,106.57,0,0,20,0,11,2021,28,5,R Ashwin,,81,2020,Delhi Daredevils
9.0,150.0,0,0,5,0,2,2021,24,1,Avesh Khan,,9,2018,Delhi Daredevils
2.0,40.0,0,0,2,0,1,2008,1,0,H Das,,2,2008,Deccan Chargers
0.0,0.0,0,0,,0,0,2011,1,0,KH Devdhar,,0,2011,Deccan Chargers
27.46,129.81,2,1,81,0,13,2011,13,0,BB McCullum,,357,2011,Kochi Tuskers Kerala
