Ground,Match_Date,Result_Margin,Season,Team_1,Team_2,Winner,result_margin_type,result_margin_value
Eden Gardens,"May 9, 2015",1 wicket,2015,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,wicket,1
Chennai,"May 8, 2015",6 wickets,2015,Chennai Super Kings,Mumbai Indians,Mumbai Indians,wickets,6
Eden Gardens,"May 7, 2015",13 runs,2015,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,runs,13
Brabourne,"May 7, 2015",7 runs,2015,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,7
Bengaluru,"May 6, 2015",138 runs,2015,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,runs,138
Wankhede,"May 5, 2015",5 wickets,2015,Mumbai Indians,Delhi Daredevils,Mumbai Indians,wickets,5
Eden Gardens,"May 4, 2015",35 runs,2015,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,runs,35
Chennai,"May 4, 2015",24 runs,2015,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,runs,24
Brabourne,"May 3, 2015",14 runs,2015,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,runs,14
Mohali,"May 3, 2015",23 runs,2015,Kings XI Punjab,Mumbai Indians,Mumbai Indians,runs,23
Hyderabad,"May 2, 2015",22 runs,2015,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,runs,22
Bengaluru,"May 2, 2015",7 wickets,2015,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,wickets,7
Wankhede,"May 1, 2015",8 runs,2015,Mumbai Indians,Rajasthan Royals,Mumbai Indians,runs,8
Delhi,"May 1, 2015",9 wickets,2015,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,wickets,9
Eden Gardens,"Apr 30, 2015",7 wickets,2015,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,wickets,7
Chennai,"Apr 28, 2015",2 runs,2015,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,runs,2
Mohali,"Apr 27, 2015",20 runs,2015,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,20
Delhi,"Apr 26, 2015",10 wickets,2015,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,10
Chennai,"Apr 25, 2015",97 runs,2015,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,runs,97
Wankhede,"Apr 25, 2015",20 runs,2015,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,runs,20
Ahmedabad,"Apr 24, 2015",9 wickets,2015,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,9
Delhi,"Apr 23, 2015",37 runs,2015,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,runs,37
Bengaluru,"Apr 22, 2015",27 runs,2015,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,runs,27
Visakhapatnam,"Apr 22, 2015",16 runs,2015,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,runs,16
Delhi,"Apr 20, 2015",6 wickets,2015,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,wickets,6
Bengaluru,"Apr 19, 2015",18 runs,2015,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,runs,18
Ahmedabad,"Apr 19, 2015",8 wickets,2015,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,wickets,8
Pune,"Apr 18, 2015",4 wickets,2015,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,wickets,4
Visakhapatnam,"Apr 18, 2015",4 runs,2015,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,runs,4
Wankhede,"Apr 17, 2015",6 wickets,2015,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,wickets,6
Visakhapatnam,"Apr 16, 2015",6 wickets,2015,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,wickets,6
Pune,"Apr 15, 2015",5 wickets,2015,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,wickets,5
Ahmedabad,"Apr 14, 2015",7 wickets,2015,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,wickets,7
Bengaluru,"Apr 13, 2015",8 wickets,2015,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,8
Wankhede,"Apr 12, 2015",18 runs,2015,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,runs,18
Delhi,"Apr 12, 2015",3 wickets,2015,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,wickets,3
Eden Gardens,"Apr 11, 2015",3 wickets,2015,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,3
Chennai,"Apr 11, 2015",45 runs,2015,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,runs,45
Pune,"Apr 10, 2015",26 runs,2015,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,runs,26
Chennai,"Apr 9, 2015",1 run,2015,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,run,1
Eden Gardens,"Apr 8, 2015",7 wickets,2015,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,wickets,7
Bengaluru,"Jun 1, 2014",3 wickets,2014,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,wickets,3
Wankhede,"May 30, 2014",24 runs,2014,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,runs,24
Brabourne,"May 28, 2014",7 wickets,2014,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,wickets,7
Eden Gardens,"May 27-28, 2014",28 runs,2014,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,runs,28
Wankhede,"May 25, 2014",5 wickets,2014,Mumbai Indians,Rajasthan Royals,Mumbai Indians,wickets,5
Mohali,"May 25, 2014",7 wickets,2014,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,wickets,7
Eden Gardens,"May 24, 2014",4 wickets,2014,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,wickets,4
Bengaluru,"May 24, 2014",8 wickets,2014,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,wickets,8
Mohali,"May 23, 2014",16 runs,2014,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,runs,16
Wankhede,"May 23, 2014",15 runs,2014,Mumbai Indians,Delhi Daredevils,Mumbai Indians,runs,15
Ranchi,"May 22, 2014",6 wickets,2014,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,6
Eden Gardens,"May 22, 2014",30 runs,2014,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,runs,30
Mohali,"May 21, 2014",7 wickets,2014,Kings XI Punjab,Mumbai Indians,Mumbai Indians,wickets,7
Eden Gardens,"May 20, 2014",8 wickets,2014,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,wickets,8
Hyderabad,"May 20, 2014",7 wickets,2014,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,wickets,7
Delhi,"May 19, 2014",4 wickets,2014,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,wickets,4
Ahmedabad,"May 19, 2014",25 runs,2014,Rajasthan Royals,Mumbai Indians,Mumbai Indians,runs,25
Hyderabad,"May 18, 2014",7 wickets,2014,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,wickets,7
Ranchi,"May 18, 2014",5 wickets,2014,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,5
Ahmedabad,"May 15, 2014",62 runs,2014,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,runs,62
Cuttack,"May 14, 2014",6 wickets,2014,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,wickets,6
Hyderabad,"May 14, 2014",6 wickets,2014,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,wickets,6
Bengaluru,"May 13, 2014",16 runs,2014,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,runs,16
Ranchi,"May 13, 2014",5 wickets,2014,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,wickets,5
Hyderabad,"May 12, 2014",7 wickets,2014,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,wickets,7
Bengaluru,"May 11, 2014",5 wickets,2014,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,wickets,5
Cuttack,"May 11, 2014",9 wickets,2014,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,wickets,9
