Ground,Match_Date,Result_Margin,Season,Team_1,Team_2,Winner,result_margin_type,result_margin_value
Jaipur,"Apr 14, 2013",6 wickets,2013,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,wickets,6
Eden Gardens,"Apr 14, 2013",48 runs,2013,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,runs,48
Chennai,"Apr 13, 2013",4 wickets,2013,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,wickets,4
Wankhede,"Apr 13, 2013",41 runs,2013,Mumbai Indians,Pune Warriors India,Mumbai Indians,runs,41
Delhi,"Apr 12, 2013",3 wickets,2013,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,3
Pune,"Apr 11, 2013",7 wickets,2013,Pune Warriors India,Rajasthan Royals,Pune Warriors India,wickets,7
Bengaluru,"Apr 11, 2013",8 wickets,2013,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,wickets,8
Mohali,"Apr 10, 2013",10 wickets,2013,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,wickets,10
Wankhede,"Apr 9, 2013",44 runs,2013,Mumbai Indians,Delhi Daredevils,Mumbai Indians,runs,44
Bengaluru,"Apr 9, 2013",7 wickets,2013,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,wickets,7
Jaipur,"Apr 8, 2013",19 runs,2013,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,runs,19
Pune,"Apr 7, 2013",8 wickets,2013,Pune Warriors India,Kings XI Punjab,Kings XI Punjab,wickets,8
Chennai,"Apr 6, 2013",9 runs,2013,Chennai Super Kings,Mumbai Indians,Mumbai Indians,runs,9
Delhi,"Apr 6, 2013",5 runs,2013,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,runs,5
Hyderabad,"Apr 5, 2013",22 runs,2013,Sunrisers Hyderabad,Pune Warriors India,Sunrisers Hyderabad,runs,22
Bengaluru,"Apr 4, 2013",2 runs,2013,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,runs,2
Eden Gardens,"Apr 3, 2013",6 wickets,2013,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,wickets,6
Chennai,"May 27, 2012",5 wickets,2012,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,wickets,5
Chennai,"May 25, 2012",86 runs,2012,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,runs,86
Bengaluru,"May 23, 2012",38 runs,2012,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,runs,38
Pune,"May 22, 2012",18 runs,2012,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,runs,18
Jaipur,"May 20, 2012",10 wickets,2012,Rajasthan Royals,Mumbai Indians,Mumbai Indians,wickets,10
Hyderabad,"May 20, 2012",9 runs,2012,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,runs,9
Pune,"May 19, 2012",34 runs,2012,Pune Warriors India,Kolkata Knight Riders,Kolkata Knight Riders,runs,34
Dharamsala,"May 19, 2012",6 wickets,2012,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,wickets,6
Hyderabad,"May 18, 2012",5 wickets,2012,Deccan Chargers,Rajasthan Royals,Deccan Chargers,wickets,5
Delhi,"May 17, 2012",21 runs,2012,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,21
Dharamsala,"May 17, 2012",6 wickets,2012,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,wickets,6
Wankhede,"May 16, 2012",32 runs,2012,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,runs,32
Delhi,"May 15, 2012",5 wickets,2012,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,wickets,5
Eden Gardens,"May 14, 2012",5 wickets,2012,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,wickets,5
Bengaluru,"May 14, 2012",5 wickets,2012,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,wickets,5
Mohali,"May 13, 2012",4 wickets,2012,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,wickets,4
Jaipur,"May 13, 2012",45 runs,2012,Rajasthan Royals,Pune Warriors India,Rajasthan Royals,runs,45
Chennai,"May 12, 2012",9 wickets,2012,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,wickets,9
Eden Gardens,"May 12, 2012",27 runs,2012,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,runs,27
Pune,"May 11, 2012",35 runs,2012,Pune Warriors India,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,35
Jaipur,"May 10, 2012",4 wickets,2012,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,wickets,4
Hyderabad,"May 10, 2012",9 wickets,2012,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,wickets,9
Wankhede,"May 9, 2012",9 wickets,2012,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,9
Hyderabad,"May 8, 2012",25 runs,2012,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,runs,25
Pune,"May 8, 2012",7 wickets,2012,Pune Warriors India,Rajasthan Royals,Rajasthan Royals,wickets,7
Delhi,"May 7, 2012",6 wickets,2012,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,wickets,6
Bengaluru,"May 6, 2012",5 wickets,2012,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,wickets,5
Wankhede,"May 6, 2012",2 wickets,2012,Mumbai Indians,Chennai Super Kings,Mumbai Indians,wickets,2
Mohali,"May 5, 2012",43 runs,2012,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,runs,43
Eden Gardens,"May 5, 2012",7 runs,2012,Kolkata Knight Riders,Pune Warriors India,Kolkata Knight Riders,runs,7
Chennai,"May 4, 2012",10 runs,2012,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,runs,10
Pune,"May 3, 2012",1 run,2012,Pune Warriors India,Mumbai Indians,Mumbai Indians,run,1
Bengaluru,"May 2, 2012",4 wickets,2012,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,wickets,4
Jaipur,"May 1, 2012",6 wickets,2012,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,wickets,6
Cuttack,"May 1, 2012",13 runs,2012,Deccan Chargers,Pune Warriors India,Deccan Chargers,runs,13
Chennai,"Apr 30, 2012",5 wickets,2012,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,wickets,5
Wankhede,"Apr 29, 2012",5 wickets,2012,Mumbai Indians,Deccan Chargers,Mumbai Indians,wickets,5
Delhi,"Apr 29, 2012",1 run,2012,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,run,1
Eden Gardens,"Apr 28, 2012",47 runs,2012,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,runs,47
Chennai,"Apr 28, 2012",7 runs,2012,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,runs,7
Delhi,"Apr 27, 2012",37 runs,2012,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,runs,37
Pune,"Apr 26, 2012",18 runs,2012,Pune Warriors India,Deccan Chargers,Deccan Chargers,runs,18
Mohali,"Apr 25, 2012",4 wickets,2012,Kings XI Punjab,Mumbai Indians,Mumbai Indians,wickets,4
Pune,"Apr 24, 2012",8 wickets,2012,Pune Warriors India,Delhi Daredevils,Delhi Daredevils,wickets,8
Jaipur,"Apr 23, 2012",46 runs,2012,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,46
Cuttack,"Apr 22, 2012",5 wickets,2012,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,wickets,5
Wankhede,"Apr 22, 2012",6 wickets,2012,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,wickets,6
Delhi,"Apr 21, 2012",20 runs,2012,Delhi Daredevils,Pune Warriors India,Pune Warriors India,runs,20
Chennai,"Apr 21, 2012",7 wickets,2012,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,wickets,7
Mohali,"Apr 20, 2012",5 wickets,2012,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,5
Chennai,"Apr 19, 2012",13 runs,2012,Chennai Super Kings,Pune Warriors India,Chennai Super Kings,runs,13
Delhi,"Apr 19, 2012",5 wickets,2012,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,wickets,5
Mohali,"Apr 18, 2012",8 wickets,2012,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,wickets,8
Bengaluru,"Apr 17, 2012",6 wickets,2012,Royal Challengers Bangalore,Pune Warriors India,Royal Challengers Bangalore,wickets,6
Jaipur,"Apr 17, 2012",5 wickets,2012,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,wickets,5
Wankhede,"Apr 16, 2012",7 wickets,2012,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,wickets,7
Bengaluru,"Apr 15, 2012",59 runs,2012,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,runs,59
Eden Gardens,"Apr 15, 2012",2 runs,2012,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,runs,2
Pune,"Apr 14, 2012",7 wickets,2012,Pune Warriors India,Chennai Super Kings,Pune Warriors India,wickets,7
Eden Gardens,"Apr 13, 2012",5 wickets,2012,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,wickets,5
Mohali,"Apr 12, 2012",7 wickets,2012,Kings XI Punjab,Pune Warriors India,Kings XI Punjab,wickets,7
Chennai,"Apr 12, 2012",5 wickets,2012,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,wickets,5
Wankhede,"Apr 11, 2012",27 runs,2012,Mumbai Indians,Rajasthan Royals,Mumbai Indians,runs,27
Delhi,"Apr 10, 2012",8 wickets,2012,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,wickets,8
Bengaluru,"Apr 10, 2012",42 runs,2012,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,runs,42
Visakhapatnam,"Apr 9, 2012",5 wickets,2012,Deccan Chargers,Mumbai Indians,Mumbai Indians,wickets,5
Pune,"Apr 8, 2012",22 runs,2012,Pune Warriors India,Kings XI Punjab,Pune Warriors India,runs,22
Jaipur,"Apr 8, 2012",22 runs,2012,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,runs,22
Visakhapatnam,"Apr 7, 2012",74 runs,2012,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,runs,74
Bengaluru,"Apr 7, 2012",20 runs,2012,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,runs,20
Jaipur,"Apr 6, 2012",31 runs,2012,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,runs,31
Wankhede,"Apr 6, 2012",28 runs,2012,Mumbai Indians,Pune Warriors India,Pune Warriors India,runs,28
Eden Gardens,"Apr 5, 2012",8 wickets,2012,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,wickets,8
Chennai,"Apr 4, 2012",8 wickets,2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,wickets,8
Chennai,"May 28, 2011",58 runs,2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,runs,58
Chennai,"May 27, 2011",43 runs,2011,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,43
Wankhede,"May 25, 2011",4 wickets,2011,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,wickets,4
Wankhede,"May 24, 2011",6 wickets,2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,wickets,6
Eden Gardens,"May 22, 2011",5 wickets,2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,wickets,5
Bengaluru,"May 22, 2011",8 wickets,2011,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,wickets,8
Dharamsala,"May 21, 2011",82 runs,2011,Kings XI Punjab,Deccan Chargers,Deccan Chargers,runs,82
Wankhede,"May 20, 2011",10 wickets,2011,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,wickets,10
DY Patil,"May 19, 2011",7 wickets,2011,Pune Warriors India,Kolkata Knight Riders,Kolkata Knight Riders,wickets,7
Chennai,"May 18, 2011",11 runs,2011,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,runs,11
Dharamsala,"May 17, 2011",111 runs,2011,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,runs,111
DY Patil,"May 16, 2011",6 wickets,2011,Pune Warriors India,Deccan Chargers,Deccan Chargers,wickets,6
Indore,"May 15, 2011",8 wickets,2011,Kochi Tuskers Kerala,Rajasthan Royals,Kochi Tuskers Kerala,wickets,8
Dharamsala,"May 15, 2011",29 runs,2011,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,runs,29
Wankhede,"May 14, 2011",10 runs,2011,Mumbai Indians,Deccan Chargers,Deccan Chargers,runs,10
Bengaluru,"May 14, 2011",4 wickets,2011,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,wickets,4
Indore,"May 13, 2011",6 wickets,2011,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,wickets,6
Chennai,"May 12, 2011",18 runs,2011,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,runs,18
Jaipur,"May 11, 2011",9 wickets,2011,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,9
Mohali,"May 10, 2011",76 runs,2011,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,runs,76
Hyderabad,"May 10, 2011",6 wickets,2011,Deccan Chargers,Pune Warriors India,Pune Warriors India,wickets,6
Jaipur,"May 9, 2011",63 runs,2011,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,runs,63
Mohali,"May 8, 2011",5 wickets,2011,Kings XI Punjab,Pune Warriors India,Pune Warriors India,wickets,5
Bengaluru,"May 8, 2011",9 wickets,2011,Royal Challengers Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore,wickets,9
Wankhede,"May 7, 2011",32 runs,2011,Mumbai Indians,Delhi Daredevils,Mumbai Indians,runs,32
Eden Gardens,"May 7, 2011",10 runs,2011,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,runs,10
Bengaluru,"May 6, 2011",85 runs,2011,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,runs,85
Hyderabad,"May 5, 2011",4 wickets,2011,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,wickets,4
Kochi,"May 5, 2011",17 runs,2011,Kochi Tuskers Kerala,Kolkata Knight Riders,Kochi Tuskers Kerala,runs,17
DY Patil,"May 4, 2011",21 runs,2011,Pune Warriors India,Mumbai Indians,Mumbai Indians,runs,21
Chennai,"May 4, 2011",8 wickets,2011,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,wickets,8
Hyderabad,"May 3, 2011",20 runs,2011,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,runs,20
Delhi,"May 2, 2011",7 wickets,2011,Delhi Daredevils,Kochi Tuskers Kerala,Kochi Tuskers Kerala,wickets,7
Wankhede,"May 2, 2011",23 runs,2011,Mumbai Indians,Kings XI Punjab,Mumbai Indians,runs,23
Chennai,"May 1, 2011",19 runs,2011,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,runs,19
Jaipur,"May 1, 2011",6 wickets,2011,Rajasthan Royals,Pune Warriors India,Rajasthan Royals,wickets,6
Eden Gardens,"Apr 30, 2011",8 wickets,2011,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,wickets,8
Kochi,"Apr 30, 2011",38 runs,2011,Kochi Tuskers Kerala,Delhi Daredevils,Delhi Daredevils,runs,38
Bengaluru,"Apr 29, 2011",26 runs,2011,Royal Challengers Bangalore,Pune Warriors India,Royal Challengers Bangalore,runs,26
Jaipur,"Apr 29, 2011",7 wickets,2011,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,wickets,7
Delhi,"Apr 28, 2011",17 runs,2011,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,runs,17
Kochi,"Apr 27, 2011",55 runs,2011,Kochi Tuskers Kerala,Deccan Chargers,Deccan Chargers,runs,55
DY Patil,"Apr 27, 2011",8 wickets,2011,Pune Warriors India,Chennai Super Kings,Chennai Super Kings,wickets,8
Delhi,"Apr 26, 2011",3 wickets,2011,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,3
Chennai,"Apr 25, 2011",25 runs,2011,Chennai Super Kings,Pune Warriors India,Chennai Super Kings,runs,25
Jaipur,"Apr 24, 2011",8 wickets,2011,Rajasthan Royals,Kochi Tuskers Kerala,Rajasthan Royals,wickets,8
Hyderabad,"Apr 24, 2011",37 runs,2011,Deccan Chargers,Mumbai Indians,Mumbai Indians,runs,37
Delhi,"Apr 23, 2011",29 runs,2011,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,runs,29
Wankhede,"Apr 22, 2011",8 runs,2011,Mumbai Indians,Chennai Super Kings,Mumbai Indians,runs,8
Eden Gardens,"Apr 22, 2011",9 wickets,2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,9
Mohali,"Apr 21, 2011",48 runs,2011,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,runs,48
Eden Gardens,"Apr 20, 2011",6 runs,2011,Kolkata Knight Riders,Kochi Tuskers Kerala,Kochi Tuskers Kerala,runs,6
Wankhede,"Apr 20, 2011",7 wickets,2011,Mumbai Indians,Pune Warriors India,Mumbai Indians,wickets,7
Delhi,"Apr 19, 2011",16 runs,2011,Delhi Daredevils,Deccan Chargers,Deccan Chargers,runs,16
Kochi,"Apr 18, 2011",7 wickets,2011,Kochi Tuskers Kerala,Chennai Super Kings,Kochi Tuskers Kerala,wickets,7
Eden Gardens,"Apr 17, 2011",8 wickets,2011,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,wickets,8
DY Patil,"Apr 17, 2011",3 wickets,2011,Pune Warriors India,Delhi Daredevils,Delhi Daredevils,wickets,3
Hyderabad,"Apr 16, 2011",8 wickets,2011,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,wickets,8
Chennai,"Apr 16, 2011",21 runs,2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,runs,21
Wankhede,"Apr 15, 2011",8 wickets,2011,Mumbai Indians,Kochi Tuskers Kerala,Kochi Tuskers Kerala,wickets,8
Jaipur,"Apr 15, 2011",9 wickets,2011,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,wickets,9
Hyderabad,"Apr 14, 2011",33 runs,2011,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,runs,33
DY Patil,"Apr 13, 2011",4 wickets,2011,Pune Warriors India,Kochi Tuskers Kerala,Pune Warriors India,wickets,4
Mohali,"Apr 13, 2011",6 wickets,2011,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,wickets,6
Bengaluru,"Apr 12, 2011",9 wickets,2011,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,wickets,9
Jaipur,"Apr 12, 2011",6 wickets,2011,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,wickets,6
Eden Gardens,"Apr 11, 2011",9 runs,2011,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,runs,9
DY Patil,"Apr 10, 2011",7 wickets,2011,Pune Warriors India,Kings XI Punjab,Pune Warriors India,wickets,7
Delhi,"Apr 10, 2011",8 wickets,2011,Delhi Daredevils,Mumbai Indians,Mumbai Indians,wickets,8
Kochi,"Apr 9, 2011",6 wickets,2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,6
Hyderabad,"Apr 9, 2011",8 wickets,2011,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,wickets,8
Chennai,"Apr 8, 2011",2 runs,2011,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,runs,2
DY Patil,"Apr 25, 2010",22 runs,2010,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,runs,22
DY Patil,"Apr 24, 2010",9 wickets,2010,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,9
DY Patil,"Apr 22, 2010",38 runs,2010,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,runs,38
DY Patil,"Apr 21, 2010",35 runs,2010,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,runs,35
Eden Gardens,"Apr 19, 2010",9 wickets,2010,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,wickets,9
Delhi,"Apr 18, 2010",11 runs,2010,Delhi Daredevils,Deccan Chargers,Deccan Chargers,runs,11
Dharamsala,"Apr 18, 2010",6 wickets,2010,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,wickets,6
Eden Gardens,"Apr 17, 2010",8 wickets,2010,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,wickets,8
Bengaluru,"Apr 17, 2010",57 runs,2010,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,runs,57
Dharamsala,"Apr 16, 2010",5 wickets,2010,Kings XI Punjab,Deccan Chargers,Deccan Chargers,wickets,5
Chennai,"Apr 15, 2010",6 wickets,2010,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,wickets,6
Jaipur,"Apr 14, 2010",5 wickets,2010,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,5
Chennai,"Apr 13, 2010",9 wickets,2010,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,wickets,9
Brabourne,"Apr 13, 2010",39 runs,2010,Mumbai Indians,Delhi Daredevils,Mumbai Indians,runs,39
Nagpur,"Apr 12, 2010",13 runs,2010,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,runs,13
Jaipur,"Apr 11, 2010",37 runs,2010,Rajasthan Royals,Mumbai Indians,Mumbai Indians,runs,37
Delhi,"Apr 11, 2010",7 wickets,2010,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,wickets,7
Bengaluru,"Apr 10, 2010",7 wickets,2010,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,wickets,7
Nagpur,"Apr 10, 2010",6 wickets,2010,Deccan Chargers,Chennai Super Kings,Deccan Chargers,wickets,6
Mohali,"Apr 9, 2010",6 wickets,2010,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,wickets,6
Bengaluru,"Apr 8, 2010",7 wickets,2010,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,wickets,7
Eden Gardens,"Apr 7, 2010",14 runs,2010,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,runs,14
Jaipur,"Apr 7, 2010",9 wickets,2010,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,wickets,9
Chennai,"Apr 6, 2010",24 runs,2010,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,runs,24
Nagpur,"Apr 5, 2010",2 runs,2010,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,runs,2
Delhi,"Apr 4, 2010",37 runs,2010,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,runs,37
Eden Gardens,"Apr 4, 2010",8 wickets,2010,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,wickets,8
Brabourne,"Apr 3, 2010",63 runs,2010,Mumbai Indians,Deccan Chargers,Mumbai Indians,runs,63
Chennai,"Apr 3, 2010",23 runs,2010,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,runs,23
Mohali,"Apr 2, 2010",6 wickets,2010,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,6
Eden Gardens,"Apr 1, 2010",24 runs,2010,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,runs,24
Delhi,"Mar 31, 2010",67 runs,2010,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,runs,67
Chennai,"Mar 31, 2010",5 wickets,2010,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,wickets,5
Brabourne,"Mar 30, 2010",4 wickets,2010,Mumbai Indians,Kings XI Punjab,Mumbai Indians,wickets,4
Delhi,"Mar 29, 2010",40 runs,2010,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,runs,40
DY Patil,"Mar 28, 2010",41 runs,2010,Deccan Chargers,Mumbai Indians,Mumbai Indians,runs,41
Ahmedabad,"Mar 28, 2010",17 runs,2010,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,runs,17
Mohali,"Mar 27, 2010",39 runs,2010,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,runs,39
Ahmedabad,"Mar 26, 2010",8 wickets,2010,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,wickets,8
Brabourne,"Mar 25, 2010",5 wickets,2010,Mumbai Indians,Chennai Super Kings,Mumbai Indians,wickets,5
Bengaluru,"Mar 25, 2010",17 runs,2010,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,runs,17
Mohali,"Mar 24, 2010",31 runs,2010,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,runs,31
Bengaluru,"Mar 23, 2010",36 runs,2010,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,runs,36
Brabourne,"Mar 22, 2010",7 wickets,2010,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,wickets,7
Cuttack,"Mar 21, 2010",10 runs,2010,Deccan Chargers,Delhi Daredevils,Deccan Chargers,runs,10
Brabourne,"Mar 20, 2010",7 wickets,2010,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,7
Ahmedabad,"Mar 20, 2010",34 runs,2010,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,runs,34
Cuttack,"Mar 19, 2010",6 runs,2010,Deccan Chargers,Kings XI Punjab,Deccan Chargers,runs,6
Delhi,"Mar 19, 2010",5 wickets,2010,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,wickets,5
Bengaluru,"Mar 18, 2010",10 wickets,2010,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,wickets,10
Delhi,"Mar 17, 2010",98 runs,2010,Delhi Daredevils,Mumbai Indians,Mumbai Indians,runs,98
Eden Gardens,"Mar 16, 2010",55 runs,2010,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,runs,55
Bengaluru,"Mar 16, 2010",8 wickets,2010,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,wickets,8
Ahmedabad,"Mar 15, 2010",6 wickets,2010,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,wickets,6
Chennai,"Mar 14, 2010",31 runs,2010,Chennai Super Kings,Deccan Chargers,Deccan Chargers,runs,31
Eden Gardens,"Mar 14, 2010",7 wickets,2010,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,wickets,7
Mohali,"Mar 13, 2010",5 wickets,2010,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,wickets,5
Brabourne,"Mar 13, 2010",4 runs,2010,Mumbai Indians,Rajasthan Royals,Mumbai Indians,runs,4
DY Patil,"Mar 12, 2010",11 runs,2010,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,runs,11
Johannesburg,"May 24, 2009",6 runs,2009,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,runs,6
Johannesburg,"May 23, 2009",6 wickets,2009,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,6
Centurion,"May 22, 2009",6 wickets,2009,Deccan Chargers,Delhi Daredevils,Deccan Chargers,wickets,6
