balls,best_innings_bowled,best_innings_bowled_runs,best_innings_bowled_wickets,bowling_average,bowling_stike_rate,catches_taken,economy_rate,innings_bowled,last_played_year,maidens_earned,matches_played,player,playing_span,runs_conceded,start_year,team_name,wickets
42,,17,2,25.0,14.0,0,10.71,3,2011,0,3,L Ablish,,75,2010,Kings XI Punjab,3
268,,25,3,27.91,22.3,4,7.5,13,2011,0,13,R Vinay Kumar,,335,2011,Kochi Tuskers Kerala,12
2257,,42,4,22.47,16.1,59,8.36,113,2022,2,116,DJ Bravo,,3147,2011,Chennai Super Kings,140
0,,,,0.0,,3,,0,2022,0,6,E Lewis,,0,2022,Lucknow Super Giants,0
12,,,,0.0,,0,14.5,1,2008,0,1,Abdur Razzak,,29,2008,Royal Challengers Bangalore,0
138,,20,2,24.0,19.7,2,7.3,7,2018,0,8,Ankit Sharma,,168,2014,Rajasthan Royals,7
276,,27,3,26.37,17.2,4,9.17,15,2024,0,15,VG Arora,,422,2023,Kolkata Knight Riders,16
0,,,,0.0,,1,,0,2018,0,1,AD Nath,,0,2018,Kings XI Punjab,0
24,,47,1,47.0,24.0,1,11.75,1,2022,0,1,SA Abbott,,47,2022,Sunrisers Hyderabad,1
1597,,13,4,27.71,21.0,12,7.91,76,2024,6,76,DL Chahar,,2106,2018,Chennai Super Kings,76
0,,,,0.0,,2,,0,2023,0,5,PN Mankad,,0,2023,Lucknow Super Giants,0
42,,,,0.0,,2,8.42,6,2023,0,13,KR Mayers,,59,2023,Lucknow Super Giants,0
0,,,,0.0,,1,,0,2019,0,8,AD Nath,,0,2019,Royal Challengers Bangalore,0
0,,,,0.0,,15,,0,2013,0,29,MA Agarwal,,0,2011,Royal Challengers Bangalore,0
0,,,,0.0,,3,,0,2021,0,2,Anuj Rawat,,0,2021,Rajasthan Royals,0
18,,,,0.0,,0,13.66,1,2015,0,1,Azhar Mahmood,,41,2015,Kolkata Knight Riders,0
0,,,,0.0,,30,,0,2022,0,60,MA Agarwal,,0,2018,Kings XI Punjab,0
54,,9,1,56.5,27.0,27,12.55,5,2024,0,50,Abdul Samad,,113,2020,Sunrisers Hyderabad,2
126,,33,2,31.83,21.0,0,9.09,7,2020,0,7,PP Chawla,,191,2020,Chennai Super Kings,6
126,,21,2,21.12,15.7,2,8.04,8,2024,0,8,A Mishra,,169,2023,Lucknow Super Giants,8
158,,18,1,60.25,39.5,0,9.15,7,2015,0,7,AN Ahmed,,241,2014,Royal Challengers Bangalore,4
24,,20,1,42.0,24.0,1,10.5,3,2018,0,3,Anureet Singh,,42,2018,Rajasthan Royals,1
747,,18,4,27.87,22.6,6,7.38,35,2013,2,35,L Balaji,,920,2011,Kolkata Knight Riders,33
